user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
64504106@N06,11831118625_81dcc72e75_o.jpg,913,"(25, 32)",f,174,787,472,472,-90,0,40
64504106@N06,11814417986_46d1137a41_o.jpg,914,"(60, 100)",f,54,412,976,969,-80,0,97
64504106@N06,11814417986_46d1137a41_o.jpg,915,"(60, 100)",f,93,43,772,772,-90,0,114
64504106@N06,11813689935_b578529e3c_o.jpg,914,"(60, 100)",f,693,1198,1007,1007,-85,0,127
64504106@N06,11813689935_b578529e3c_o.jpg,915,"(60, 100)",f,699,664,810,810,-100,0,99
64504106@N06,11856582964_2e17032b1a_o.jpg,913,"(25, 32)",f,370,0,636,632,-110,30,79
64504106@N06,11831522024_db5afbb53b_o.jpg,925,"(25, 32)",f,828,1584,262,261,-90,0,83
64504106@N06,11812405625_1bc10d66c3_o.jpg,927,"(25, 32)",f,1969,758,377,376,-5,0,130
64504106@N06,11812405625_1bc10d66c3_o.jpg,928,"(25, 32)",f,1429,852,363,364,0,0,84
64504106@N06,11813240513_564970fc60_o.jpg,913,"(25, 32)",f,720,1227,657,656,-90,-30,44
64504106@N06,11813320056_13f512c015_o.jpg,931,"(25, 32)",f,1810,667,485,485,0,30,7
64504106@N06,11813320056_13f512c015_o.jpg,932,"(25, 32)",f,2194,733,351,350,0,-15,38
64504106@N06,11812401285_57deb4e13a_o.jpg,927,"(25, 32)",f,938,576,357,357,-95,0,111
64504106@N06,11812401285_57deb4e13a_o.jpg,928,"(25, 32)",f,1059,1090,325,325,-90,0,95
64504106@N06,11817163765_8eb4143bd1_o.jpg,913,"(25, 32)",f,328,461,648,499,-90,0,35
64504106@N06,11817163765_8eb4143bd1_o.jpg,933,"(38, 43)",f,205,0,544,493,-100,0,79
64504106@N06,11817163765_8eb4143bd1_o.jpg,934,"(25, 32)",f,244,276,532,532,-100,0,70
64504106@N06,11814422336_8a1772a9ca_o.jpg,914,"(60, 100)",f,368,1168,1026,1026,-90,0,84
