user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
64504106@N06,11831304783_488d6c3a6d_o.jpg,911,"(0, 2)",m,438,914,605,606,-90,0,123
64504106@N06,11849646776_35253e988f_o.jpg,911,"(0, 2)",m,19,712,1944,1736,-105,0,86
64504106@N06,11848166326_57b03f535e_o.jpg,911,"(0, 2)",m,382,680,1785,1768,-80,0,14
64504106@N06,11812546385_bb4d020dde_o.jpg,911,"(0, 2)",m,608,948,893,892,-105,0,8
64504106@N06,11831118625_81dcc72e75_o.jpg,912,"(38, 43)",m,23,150,508,508,-90,0,79
64504106@N06,11837596415_11e2a216ce_o.jpg,911,"(0, 2)",m,373,321,656,656,-90,0,84
64504106@N06,11817152085_7debc19e54_o.jpg,911,"(0, 2)",m,396,750,867,867,-80,0,47
64504106@N06,11839897733_f3b52ec5b9_o.jpg,911,"(0, 2)",m,537,591,1077,1077,-100,-15,36
64504106@N06,11817384233_8652174462_o.jpg,911,"(0, 2)",m,1423,895,688,689,-90,15,61
64504106@N06,11831961146_98ddb57177_o.jpg,911,"(0, 2)",m,605,202,1237,1237,-75,0,98
64504106@N06,11842475906_0eaf471e6e_o.jpg,911,"(0, 2)",m,831,541,969,969,-95,0,111
64504106@N06,11856914806_a1f54a948b_o.jpg,911,"(0, 2)",m,0,878,1166,1370,-95,0,121
64504106@N06,11846140823_aec2247390_o.jpg,911,"(0, 2)",m,438,51,1454,1453,-5,0,72
64504106@N06,11812700823_eca6f360cf_o.jpg,911,"(0, 2)",m,0,66,2325,2382,-90,0,97
64504106@N06,11831571504_7044a2e454_o.jpg,911,"(0, 2)",m,468,645,1097,1096,-100,0,81
64504106@N06,11831157325_dd9e1c96f4_o.jpg,911,"(0, 2)",m,1069,353,1326,1326,-85,15,17
64504106@N06,11813333234_a68667c7d6_o.jpg,911,"(0, 2)",m,297,0,1403,1252,-5,0,57
64504106@N06,11856510614_25e6d91c91_o.jpg,911,"(0, 2)",m,1166,1047,306,306,-95,0,38
64504106@N06,11819581886_40f9d393a3_o.jpg,911,"(0, 2)",m,253,639,1383,1383,-85,0,125
64504106@N06,11849653046_39ea147690_o.jpg,911,"(0, 2)",m,0,709,1992,1739,-110,0,75
64504106@N06,11846291424_87c15afa49_o.jpg,911,"(0, 2)",m,532,903,797,797,-105,0,33
64504106@N06,11829684914_ebaabce8ff_o.jpg,911,"(0, 2)",m,1008,1048,600,599,-80,0,103
64504106@N06,11813500926_95b51743f0_o.jpg,911,"(0, 2)",m,576,631,1550,1549,-75,0,87
64504106@N06,11840985173_5fcf01a650_o.jpg,911,"(0, 2)",m,718,894,1027,1026,-95,0,110
64504106@N06,11849705944_f17407df39_o.jpg,911,"(0, 2)",m,1459,1418,389,389,-90,0,13
64504106@N06,11817182685_2559f44df2_o.jpg,911,"(0, 2)",m,267,701,1052,1052,-100,0,59
64504106@N06,11840974713_ceca7827a9_o.jpg,911,"(0, 2)",m,134,43,2610,2127,-100,0,45
64504106@N06,11848360773_929fbccb57_o.jpg,911,"(0, 2)",m,0,433,1434,1556,-75,-30,48
64504106@N06,11813861416_7dd57e2936_o.jpg,916,"(60, 100)",m,1581,1015,401,401,-95,0,107
64504106@N06,11813861416_7dd57e2936_o.jpg,917,"(38, 43)",m,996,1904,350,351,-70,0,64
64504106@N06,11813861416_7dd57e2936_o.jpg,912,"(38, 43)",m,1137,1518,313,313,-85,0,78
64504106@N06,11813861416_7dd57e2936_o.jpg,918,"(60, 100)",m,1158,286,306,306,-90,30,58
64504106@N06,11813861416_7dd57e2936_o.jpg,919,"(4, 6)",m,1573,2000,286,287,-85,0,77
64504106@N06,11813861416_7dd57e2936_o.jpg,920,"(38, 43)",m,1120,747,274,274,-85,0,78
64504106@N06,11813861416_7dd57e2936_o.jpg,921,"(60, 100)",m,1134,1206,262,261,-110,0,109
64504106@N06,11813861416_7dd57e2936_o.jpg,922,"(0, 2)",m,1236,489,262,261,-95,30,74
64504106@N06,11817290195_68deabe680_o.jpg,911,"(0, 2)",m,487,218,1964,1963,-85,0,75
64504106@N06,11813382416_5a5d3cc153_o.jpg,911,"(0, 2)",m,0,887,1222,1243,-100,0,73
64504106@N06,11830183385_efaf7ac547_o.jpg,911,"(0, 2)",m,618,793,988,988,-90,0,84
64504106@N06,11858678586_7564f122ab_o.jpg,911,"(0, 2)",m,234,777,644,644,-85,0,22
64504106@N06,11839597675_eeefbe602c_o.jpg,911,"(0, 2)",m,148,559,1429,1326,-115,0,138
64504106@N06,11846647256_523a1bd528_o.jpg,911,"(0, 2)",m,785,763,874,873,-80,0,22
64504106@N06,11856411513_c8fcda0941_o.jpg,911,"(0, 2)",m,747,672,669,669,-100,0,47
64504106@N06,11812872423_20d958b4d1_o.jpg,911,"(0, 2)",m,0,1042,895,1013,-105,0,52
64504106@N06,11858245595_ef7d8f91aa_o.jpg,911,"(0, 2)",m,0,506,941,950,-90,0,134
64504106@N06,11856582964_2e17032b1a_o.jpg,911,"(0, 2)",m,588,412,408,408,-80,0,91
64504106@N06,11812835283_8e2fe5e0c6_o.jpg,911,"(0, 2)",m,277,903,1562,1545,-90,0,70
64504106@N06,11812960033_01a87d4897_o.jpg,912,"(38, 43)",m,302,15,1428,1428,-85,0,83
64504106@N06,11812960033_01a87d4897_o.jpg,911,"(0, 2)",m,798,1238,790,790,-85,-30,55
64504106@N06,11819601446_e539f235f0_o.jpg,911,"(0, 2)",m,736,506,905,906,-75,0,39
64504106@N06,11813453136_ca7e103181_o.jpg,912,"(38, 43)",m,430,92,1434,1434,-90,30,93
64504106@N06,11813453136_ca7e103181_o.jpg,923,"(38, 43)",m,510,713,1224,1225,-100,0,31
64504106@N06,11813453136_ca7e103181_o.jpg,911,"(0, 2)",m,932,1440,765,765,-115,0,91
64504106@N06,11831582034_8d50e9e18e_o.jpg,911,"(0, 2)",m,0,553,1453,1895,-110,0,21
64504106@N06,11831663073_c0c71310f5_o.jpg,911,"(0, 2)",m,946,811,1594,1593,-90,30,59
64504106@N06,11813024743_a45e64d7c3_o.jpg,911,"(0, 2)",m,572,739,1319,1320,-100,0,61
64504106@N06,11849298314_4a33a0a2b8_o.jpg,911,"(0, 2)",m,0,497,1367,1415,-95,0,138
64504106@N06,11846649106_6632411bc1_o.jpg,911,"(0, 2)",m,781,86,947,946,10,0,19
64504106@N06,11839624295_e4c872157e_o.jpg,911,"(0, 2)",m,498,629,1199,1199,-100,0,81
64504106@N06,11831965456_bec14f597b_o.jpg,911,"(0, 2)",m,678,796,1014,1014,-90,0,110
64504106@N06,11812807113_eaf0167c53_o.jpg,911,"(0, 2)",m,320,484,2333,1964,-100,0,124
64504106@N06,11839602915_563477639f_o.jpg,911,"(0, 2)",m,749,1255,969,969,-115,0,87
64504106@N06,11849663356_d70d573364_o.jpg,911,"(0, 2)",m,235,903,1326,1326,-105,30,69
64504106@N06,11814814396_b2649ddd29_o.jpg,911,"(0, 2)",m,1045,1141,1320,1307,-105,0,51
64504106@N06,11841360064_9ea470ac1c_o.jpg,911,"(0, 2)",m,755,575,931,931,-90,0,121
64504106@N06,11813183443_3485fa97d9_o.jpg,912,"(38, 43)",m,1813,521,689,688,-10,0,59
64504106@N06,11845853035_071c55c8ac_o.jpg,911,"(0, 2)",m,215,615,1332,1332,-90,0,90
64504106@N06,11812971434_44086cca49_o.jpg,911,"(0, 2)",m,355,216,2340,2232,-90,0,112
64504106@N06,11846581226_fc9f42d681_o.jpg,911,"(0, 2)",m,490,556,1326,1326,-70,0,56
64504106@N06,11812405625_1bc10d66c3_o.jpg,926,"(25, 32)",m,941,503,415,415,0,0,124
64504106@N06,11830032306_edd83cae72_o.jpg,911,"(0, 2)",m,511,849,956,956,-80,0,89
64504106@N06,11848626933_b7ac86e4cb_o.jpg,911,"(0, 2)",m,0,398,1448,1645,-80,-15,60
64504106@N06,11812712543_518a6ef182_o.jpg,911,"(0, 2)",m,0,715,1144,1275,-110,0,28
64504106@N06,11832166626_bdcb6414cf_o.jpg,911,"(0, 2)",m,988,736,714,714,-85,30,70
64504106@N06,11838146203_30c4f64c4d_o.jpg,911,"(0, 2)",m,373,321,656,656,-90,0,84
64504106@N06,11840139364_283e997247_o.jpg,929,"(38, 43)",m,62,213,848,848,-80,0,119
64504106@N06,11831794616_af338eb89a_o.jpg,911,"(0, 2)",m,992,916,829,829,-90,0,83
64504106@N06,11840699025_7d606bc0b7_o.jpg,911,"(0, 2)",m,755,575,931,931,-90,0,121
64504106@N06,11837463785_54d6091236_o.jpg,911,"(0, 2)",m,747,1005,631,631,-90,0,80
64504106@N06,11817766986_0bb19a9e42_o.jpg,911,"(0, 2)",m,741,1059,988,988,-70,0,11
64504106@N06,11813043304_0e8a6ed1e3_o.jpg,911,"(0, 2)",m,396,690,1192,1192,-105,0,50
64504106@N06,11831536284_fa253afbb9_o.jpg,924,"(25, 32)",m,726,959,294,293,-90,0,98
64504106@N06,11813088846_9257a579f9_o.jpg,911,"(0, 2)",m,425,809,1199,1199,-90,30,72
64504106@N06,11840070934_78d60c0b68_o.jpg,929,"(38, 43)",m,62,213,848,848,-80,0,119
64504106@N06,11813368493_524d6f27b7_o.jpg,916,"(60, 100)",m,1456,1045,376,376,-90,0,113
64504106@N06,11813368493_524d6f27b7_o.jpg,917,"(38, 43)",m,849,1850,363,363,-70,0,74
64504106@N06,11813368493_524d6f27b7_o.jpg,918,"(60, 100)",m,1026,341,306,306,-110,30,77
64504106@N06,11813368493_524d6f27b7_o.jpg,912,"(38, 43)",m,1008,1483,300,300,-85,0,90
64504106@N06,11813368493_524d6f27b7_o.jpg,920,"(38, 43)",m,967,747,274,274,-90,0,90
64504106@N06,11813368493_524d6f27b7_o.jpg,919,"(4, 6)",m,1443,1933,275,274,-95,0,93
64504106@N06,11813368493_524d6f27b7_o.jpg,922,"(0, 2)",m,1096,513,261,261,-95,0,70
64504106@N06,11813368493_524d6f27b7_o.jpg,921,"(60, 100)",m,992,1187,262,261,-105,0,128
64504106@N06,11829253585_1e6b193770_o.jpg,911,"(0, 2)",m,513,989,822,823,-75,0,53
64504106@N06,11813292396_7f60168b27_o.jpg,911,"(0, 2)",m,540,965,943,944,-90,0,84
64504106@N06,11812539535_96b7bc448c_o.jpg,911,"(0, 2)",m,492,290,564,565,-90,0,40
64504106@N06,11840030734_c6fb8003b3_o.jpg,911,"(0, 2)",m,396,921,1275,1275,-85,0,103
64504106@N06,11817232615_06e363d671_o.jpg,911,"(0, 2)",m,219,470,1320,1319,-80,0,81
64504106@N06,11840720453_fc49d470f9_o.jpg,911,"(0, 2)",m,492,222,613,612,-115,0,107
64504106@N06,11813137435_09deaf0b71_o.jpg,930,"(60, 100)",m,1300,765,383,382,-75,30,89
64504106@N06,11813137435_09deaf0b71_o.jpg,916,"(60, 100)",m,1397,1056,357,357,-95,0,103
64504106@N06,11813137435_09deaf0b71_o.jpg,917,"(38, 43)",m,774,1794,338,338,-80,0,64
